Summary,Issue Type,Priority,Assignee,Labels,Components,Epic Link,Story Points,Description
"Faz 1 - Altyapı & Ortam Kurulumu",Epic,Highest,Nehir Bozbey,faz1,DevOps,,,"Hafta 1-2: Docker, CI/CD, Prisma şema, RN/Web iskelet."
"Faz 2 - Kimlik Doğrulama & Yetkilendirme",Epic,Highest,Ahmet Efe,faz2,Backend,,,"Hafta 3-4: Auth API, doktor onayı + e-posta ön atama, SSL/TLS, register/login ekranları."
"Faz 3 - Çekirdek Modüller & API'ler",Epic,Highest,Ahmet Efe,faz3,Backend,,,"Hafta 5-8: Catalog seed, doctor API, caregiver API, owner web, doctor mobile stack, monitoring."
"Faz 4 - Raporlama, Bildirim & Caregiver Mobile",Epic,High,Ahmet Efe,faz4,Backend,,,"Hafta 9-11: PDF/Excel rapor, caregiver mobile stack, local notifications, severity chart."
"Faz 5 - Test, Erişilebilirlik & Optimizasyon",Epic,High,Nehir Bozbey,faz5,QA,,,"Hafta 12-13: API test, güvenlik & KVKK, mobile WCAG + sesli komut + Siri."
"Faz 6 - Deployment & Lansman",Epic,Highest,Nehir Bozbey,faz6,DevOps,,,"Hafta 14: Production deploy, API dokümantasyonu, iOS/Android build."
"G-01: Docker Compose Ortamı (PostgreSQL)",Task,Highest,Nehir Bozbey,faz1 devops backend,DevOps,Faz 1 - Altyapı & Ortam Kurulumu,3,"İŞ TANIMI: docker-compose.yml dosyası yazılır; postgres:16-alpine container'ı, named volume (pgdata), healthcheck ve port mapping (5432) ile yapılandırılır. .env.example dosyası repo köküne eklenir; DATABASE_URL, JWT_*, OWNER_*, REPORTS_DIR değişkenleri tanımlanır.

KABUL KRİTERİ: docker compose up -d postgres ile DB ayağa kalkar; docker exec ... pg_isready healthy döner; psql ile bağlanılabilir; volume verisi container restart sonrası korunur."
"G-02: CI/CD Pipeline (GitHub Actions)",Task,Highest,Nehir Bozbey,faz1 devops ci,DevOps,Faz 1 - Altyapı & Ortam Kurulumu,5,"İŞ TANIMI: main ve develop için iki ayrı workflow yazılır. Her PR'da: backend tsc --noEmit, mobile tsc --noEmit, admin-web tsc -b, prisma validate. PR'lar başarısız job ile merge edilemez. Backend için Docker image build & push (GHCR) adımı eklenir.

KABUL KRİTERİ: Her PR'da 4 ayrı job (backend/mobile/admin-web/docker) yeşil yanıyor; başarısız job merge'ü engelliyor; image GHCR'da etiketli olarak yer alıyor."
"G-03: Prisma Şema Tasarımı ve İlk Migrasyon",Task,Highest,Ahmet Efe,faz1 backend db,Backend,Faz 1 - Altyapı & Ortam Kurulumu,8,"İŞ TANIMI: PostgreSQL üzerinde Prisma modelleri yazılır: User, DoctorProfile, CaregiverProfile, PatientMetric, Disease, Symptom, Medication, PatientDisease, SymptomLog, Prescription, DoseEvent, Report. İlişkiler ve unique constraint'ler (User.email, DoctorProfile.diplomaNumber, DoseEvent[prescriptionId, scheduledAt]) tanımlanır. npx prisma migrate dev --name init ile ilk migrasyon SQL'i üretilir.

KABUL KRİTERİ: prisma validate temiz; ilk migration prisma/migrations/ altında commit edildi; prisma generate ile typesafe client oluşturuluyor; her model için index'ler (caregiverEmail, caregiverId, loggedAt) tanımlı."
"G-04: React Native (Bare) Proje İskeleti & Tema Sistemi",Task,High,Abdussamed Ateş,faz1 mobile frontend,Mobile,Faz 1 - Altyapı & Ortam Kurulumu,5,"İŞ TANIMI: npx @react-native-community/cli init ile bare RN 0.85 projesi oluşturulur. src/{api,auth,components,navigation,screens,theme,notifications,voice,siri} dizin yapısı kurulur. WCAG AA renk paleti, spacing, radius, typography, TOUCH_MIN=44 token'ları src/theme/index.ts içinde tanımlanır. Ortak bileşenler: Screen, PrimaryButton, TextField, Heading, Card, ErrorBanner. Ayrıca admin-web/ Vite projesi iskelesi kurulur.

KABUL KRİTERİ: cd mobile && npx tsc --noEmit exit 0; cd admin-web && npx tsc -b exit 0; tema renk kontrastları 4.5:1 üstünde."
